DATE,CPIAUCSL_PC1
1948/1/1,7.67221
1949/1/1,-0.9808
1950/1/1,1.06402
1951/1/1,7.94113
1952/1/1,2.28439
1953/1/1,0.7591
1954/1/1,0.36112
1955/1/1,-0.25746
1956/1/1,1.47411
1957/1/1,3.39269
1958/1/1,2.73002
1959/1/1,0.93199
1960/1/1,1.49228
1961/1/1,1.07036
1962/1/1,1.17608
1963/1/1,1.25606
1964/1/1,1.32209
1965/1/1,1.57869
1966/1/1,2.98937
1967/1/1,2.78455
1968/1/1,4.24469
1969/1/1,5.43713
1970/1/1,5.88369
1971/1/1,4.22656
1972/1/1,3.27295
1973/1/1,6.25872
1974/1/1,11.01107
1975/1/1,9.1416
1976/1/1,5.77489
1977/1/1,6.46956
1978/1/1,7.62991
1979/1/1,11.25303
1980/1/1,13.50172
1981/1/1,10.37831
1982/1/1,6.15836
1983/1/1,3.15953
1984/1/1,4.3682
1985/1/1,3.5279
1986/1/1,1.94393
1987/1/1,3.57821
1988/1/1,4.10004
1989/1/1,4.79109
1990/1/1,5.41922
1991/1/1,4.21583
1992/1/1,3.04162
1993/1/1,2.96965
1994/1/1,2.5956
1995/1/1,2.80542
1996/1/1,2.93667
1997/1/1,2.33757
1998/1/1,1.54701
1999/1/1,2.19314
2000/1/1,3.36668
2001/1/1,2.81663
2002/1/1,1.59567
2003/1/1,2.298
2004/1/1,2.66757
2005/1/1,3.36583
2006/1/1,3.22209
2007/1/1,2.87055
2008/1/1,3.81495
2009/1/1,-0.32036
2010/1/1,1.63657
2011/1/1,3.13965
2012/1/1,2.07319
2013/1/1,1.46597
2014/1/1,1.61546
2015/1/1,0.12114
2016/1/1,1.26736
2017/1/1,2.13144
2018/1/1,2.439
2019/1/1,1.81289
2020/1/1,1.25128
2021/1/1,4.68256
2022/1/1,7.98648
